"year","column_number","variable_name","variable_label","value_labels","variable_class","example_values","block","question","subitem","activity_number","questionnaire_section","file_component","readable_description"
"2020-21",154,"b7pt2_q14_perv1","Industry Division (NIC 2 digit)","","character",", 49, 41, 32, 47, 63, 46, 12, 69, 80",7,14,NA,NA,"","Person file: first visit","Industry Division (NIC 2 digit)"
"2020-21",155,"b7pt2_q15_perv1","Occupation Group (NCO-2004 3 digit)","","character",", 832, 931, 932, 522, 821, 341, 712, 512, 121",7,15,NA,NA,"","Person file: first visit","Occupation Group (NCO-2004 3 digit)"
"2020-21",156,"NSS_perv1","Ns count for sector x stratum x substratum x sub-sample","","numeric","3, 1, 4, 11, 7, 2, 10, 8, 5, 12",NA,NA,NA,NA,"","Person file: first visit","Ns count for sector x stratum x substratum x sub-sample"
"2020-21",157,"NSC_perv1","Ns count for sector x stratum x substratum","","numeric","6, 2, 1, 8, 23, 14, 4, 19, 20, 16",NA,NA,NA,NA,"","Person file: first visit","Ns count for sector x stratum x substratum"
"2020-21",158,"mult_perv1","Sub-sample wise Multiplier","","numeric","81181, 46162, 686059, 730629, 365315, 515738, 57549, 27747, 15415, 503555",NA,NA,NA,NA,"","Person file: first visit","Sub-sample wise Multiplier"
"2020-21",159,"no_qtr_perv1","Occurance of FSUs in State x Sector x Stratum x SubStratum in 4 Quarters","","numeric","4, 3, 2",NA,NA,NA,NA,"","Person file: first visit","Occurance of FSUs in State x Sector x Stratum x SubStratum in 4 Quarters"
"2021",1,"panel_cperv1","Panel","","character","P3, P2",NA,NA,NA,NA,"","Person file: first visit","Panel"
"2021",2,"FI_cperv1","File Identification","","character","CFVP1",NA,NA,NA,NA,"","Person file: first visit","File Identification"
"2021",3,"B1q2_cperv1","Schdule","","character","104",1,2,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Schdule"
"2021",4,"qtr_cperv1","Quarter","","character","Q1, Q2, Q7, Q8",NA,NA,NA,NA,"","Person file: first visit","Quarter"
"2021",5,"visit_cperv1","Visit","","character","V1",NA,NA,NA,NA,"","Person file: first visit","Visit"
"2021",6,"b1q3_cperv1","Sector","0 = urban; 0 = rural","haven_labelled/vctrs_vctr/character","1, 2",1,3,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sector"
"2021",7,"state_cperv1","State/Ut Code","0 = Jammu & Kashmir; 0 = Himachal Pradesh; 0 = Punjab; 0 = Chandigarh; 0 = Uttarakhand; 0 = Haryana; 0 = Delhi; 0 = Rajasthan; 0 = Uttar Pradesh; 0 = Bihar; 0 = Sikkim; 0 = Arunachal Pradesh; 0 = Nagaland; 0 = Manipur; 0 = Mizoram; 0 = Tripura; 0 = Meghalaya; 0 = Assam; 0 = West Bengal; 0 = Jharkhand; 0 = Odisha; 0 = Chhattisgarh; 0 = Madhya Pradesh; 0 = Gujarat; 0 = D & N. Haveli & Daman & Diu; 0 = Maharashtra; 0 = Andhra Pradesh; 0 = Karnataka; 0 = Goa; 0 = Lakshadweep; 0 = Kerala; 0 = Tamilnadu; 0 = Puduchery; 0 = Andaman & N. Island; 0 = Telangana; 0 = Ladakh","haven_labelled/vctrs_vctr/character","23, 21, 24, 33, 10, 08, 06, 14, 16, 01",NA,NA,NA,NA,"","Person file: first visit","State/Ut Code"
"2021",8,"distcode_cperv1","District Code","","character","06, 23, 04, 25, 09, 27, 20, 01, 19, 14",NA,NA,NA,NA,"","Person file: first visit","District Code"
"2021",9,"nss_region_cperv1","NSS-Region","","character","236, 212, 242, 333, 231, 101, 083, 061, 141, 161",NA,NA,NA,NA,"","Person file: first visit","NSS-Region"
"2021",10,"b1q5_cperv1","Stratum","","character","06, 02, 03, 01, 05, 04, 99",1,5,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Stratum"
"2021",11,"b1q6_cperv1","Sub-Stratum","","character","01, 08, 06, 10, 29, 05, 04, 18, 13, 02",1,6,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sub-Stratum"
"2021",12,"b1q11_cperv1","Sub-Sample","","character","2, 1",1,11,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sub-Sample"
"2021",13,"b1q12_cperv1","Fod Sub-Region","","character","2322, 2120, 2421, 3333, 2331, 1010, 0812, 0615, 1410, 1610",1,12,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Fod Sub-Region"
"2021",14,"b1q1_cperv1","FSU","","character","10003, 10005, 10010, 10012, 10028, 10032, 10036, 10038, 10042, 10043",1,1,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","FSU"
"2021",15,"b1q13_cperv1","Sample Hg/Sb No.","","character","1, 2",1,13,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sample Hg/Sb No."
"2021",16,"b1q14_cperv1","Second Stage Stratum No.","","character","1, 2, 3, 4",1,14,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Second Stage Stratum No."
"2021",17,"b1q15_cperv1","Sample Household Number","","character","01, 02, 03, 04, 05, 06, 07, 08",1,15,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sample Household Number"
"2021",18,"b4q1_cperv1","Person Serial No.","","character","01, 02, 03, 04, 05, 06, 07, 08, 09, 10",4,1,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Person Serial No."
"2021",19,"b4q5_cperv1","Sex","0 = female; 0 = transgender; 0 = male","haven_labelled/vctrs_vctr/character","1, 2, 3",4,5,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Sex"
"2021",20,"b4q6_cperv1","Age","","character","45, 42, 17, 19, 51, 49, 16, 20, 18, 96",4,6,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Age"
"2021",21,"b4q8_cperv1","General Educaion Level","0 =  not literate; 0 = literate without formal schooling : EGS/ NFEC/ AEC; 0 =  literate without formal schooling: TLC; 0 = others; 0 = below primary; 0 = primary; 0 = middle; 0 = secondary; 0 = higher secondary; 0 = diploma/certificate course; 0 = graduate; 0 = postgraduate and above","haven_labelled/vctrs_vctr/character","06, 01, 08, 10, 07, 12, 05, 02, 13, 11",4,8,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","General Educaion Level"
"2021",22,"b6q5_cperv1","Current Weekly Status (CWS)","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour in public works other than MGNR; 0 = worked as casual wage labour in MGNREG works; 0 = in other types of  work; 0 =  had work in h.h. enterprise but did not work due to: sickne; 0 =  had work in h.h. enterprise but did not work due to other r; 0 = had regular salaried/wage employment but did not work due to; 0 = had regular salaried/wage employment but did not work due to; 0 = had regular salaried/wage employment but did not work due to; 0 = had regular salaried/wage employment but did not work due to; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.); 0 = had regular salaried/wage employment but did not work due to","haven_labelled/vctrs_vctr/character","11, 21, 91, 93, 92, 94, 81, 51, 99, 31",6,5,NA,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","Current Weekly Status (CWS)"
"2021",23,"b6q6_cperv1","Industry Code (CWS)","","character","01, , 56, 41, 14, 82, 97, 49, 47, 87",6,6,NA,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","Industry Code (CWS)"
"2021",24,"b6q7_cperv1","Occupation Code (CWS)","","character","611, , 121, 921, 931, 962, 112, 132, 753, 832",6,7,NA,NA,"Block 6: current weekly activity and daily work details","Person file: first visit","Occupation Code (CWS)"
"2021",25,"nss_cperv1","Ns count for sector x stratum x substratum x sub-sample","","numeric","1, 5, 2, 3, 4, 7, 11, 16, 8, 6",NA,NA,NA,NA,"","Person file: first visit","Ns count for sector x stratum x substratum x sub-sample"
"2021",26,"nsc_cperv1","Ns count for sector x stratum x substratum","","numeric","2, 1, 10, 4, 6, 8, 14, 9, 23, 22",NA,NA,NA,NA,"","Person file: first visit","Ns count for sector x stratum x substratum"
"2021",27,"mult_cperv1","Sub-sample wise Multiplier","","numeric","1276848, 1037439, 3431528, 1062693, 599907, 1611179, 1782581, 1096973, 3839405, 869940",NA,NA,NA,NA,"","Person file: first visit","Sub-sample wise Multiplier"
"2022",1,"panel_cperv1","Panel","","character","P3",NA,NA,NA,NA,"","Person file: first visit","Panel"
"2022",2,"FI_cperv1","File Identification","","character","CFVP2",NA,NA,NA,NA,"","Person file: first visit","File Identification"
"2022",3,"B1q2_cperv1","Schdule","","character","104",1,2,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Schdule"
"2022",4,"qtr_cperv1","Quarter","","character","Q3, Q4, Q5, Q6",NA,NA,NA,NA,"","Person file: first visit","Quarter"
"2022",5,"visit_cperv1","Visit","","character","V1",NA,NA,NA,NA,"","Person file: first visit","Visit"
"2022",6,"b1q3_cperv1","Sector","0 = urban; 0 = rural","haven_labelled/vctrs_vctr/character","1, 2",1,3,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sector"
"2022",7,"state_cperv1","State/Ut Code","0 = Jammu & Kashmir; 0 = Himachal Pradesh; 0 = Punjab; 0 = Chandigarh; 0 = Uttarakhand; 0 = Haryana; 0 = Delhi; 0 = Rajasthan; 0 = Uttar Pradesh; 0 = Bihar; 0 = Sikkim; 0 = Arunachal Pradesh; 0 = Nagaland; 0 = Manipur; 0 = Mizoram; 0 = Tripura; 0 = Meghalaya; 0 = Assam; 0 = West Bengal; 0 = Jharkhand; 0 = Odisha; 0 = Chhattisgarh; 0 = Madhya Pradesh; 0 = Gujarat; 0 = D & N. Haveli & Daman & Diu; 0 = Maharashtra; 0 = Andhra Pradesh; 0 = Karnataka; 0 = Goa; 0 = Lakshadweep; 0 = Kerala; 0 = Tamilnadu; 0 = Puduchery; 0 = Andaman & N. Island; 0 = Telangana; 0 = Ladakh","haven_labelled/vctrs_vctr/character","28, 12, 18, 10, 22, 07, 30, 24, 06, 02",NA,NA,NA,NA,"","Person file: first visit","State/Ut Code"
"2022",8,"distcode_cperv1","District Code","","character","02, 03, 01, 04, 05, 09, 07, 06, 08, 13",NA,NA,NA,NA,"","Person file: first visit","District Code"
"2022",9,"nss_region_cperv1","NSS-Region","","character","281, 282, 283, 121, 181, 182, 183, 184, 101, 102",NA,NA,NA,NA,"","Person file: first visit","NSS-Region"
"2022",10,"b1q5_cperv1","Stratum","","character","01, 02, 03, 04, 05, 06",1,5,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Stratum"
"2022",11,"b1q6_cperv1","Sub-Stratum","","character","01, 02, 03, 04, 05, 06, 07, 08, 09, 10",1,6,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sub-Stratum"
"2022",12,"b1q11_cperv1","Sub-Sample","","character","1, 2",1,11,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sub-Sample"
"2022",13,"b1q12_cperv1","Fod Sub-Region","","character","2822, 2821, 2820, 2814, 2812, 2810, 2813, 2811, 1210, 1821",1,12,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Fod Sub-Region"
"2022",14,"b1q1_cperv1","FSU","","character","10948, 15873, 12868, 15595, 11964, 14512, 15802, 13446, 15845, 15710",1,1,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","FSU"
"2022",15,"b1q13_cperv1","Sample Sg/Sb No.","","character","1, 2",1,13,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sample Sg/Sb No."
"2022",16,"b1q14_cperv1","Second Stage Stratum No.","","character","1, 2, 3, 4",1,14,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Second Stage Stratum No."
"2022",17,"b1q15_cperv1","Sample Household Number","","character","01, 02, 03, 04, 05, 06, 07, 08",1,15,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sample Household Number"
"2022",18,"b4q1_cperv1","Person Serial No.","","character","01, 03, 02, 04, 05, 06, 07, 11, 09, 10",4,1,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Person Serial No."
"2022",19,"b4q4_cperv1","Relationship To Head","0 = self; 0 = spouse of head; 0 = married child; 0 = spouse of married child; 0 = unmarried child; 0 = grandchild-; 0 = father/mother/father-in-law/mother-in-law; 0 = brother/sister/brother-in-law/ sister-in-law/other relatives; 0 = servants/employees/other non-relatives","haven_labelled/vctrs_vctr/character","1, 5, 2, 6, 3, 4, 7, 8, 9",4,4,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Relationship To Head"
"2022",20,"b4q5_cperv1","Sex","0 = female; 0 = transgender; 0 = male","haven_labelled/vctrs_vctr/character","1, 2, 3",4,5,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Sex"
"2022",21,"b4q6_perv1","Age","","character","52, 18, 45, 22, 51, 24, 48, 36, 12, 35",4,6,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Age"
"2022",22,"b4q7_cperv1","Marital Status","0 = currently married; 0 = widowed; 0 = divorced/separated; 0 = never married","haven_labelled/vctrs_vctr/character","2, 1, 3, 4",4,7,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Marital Status"
"2022",23,"b4q8_cperv1","General Educaion Level","0 =  not literate; 0 = literate without formal schooling : EGS/ NFEC/ AEC; 0 =  literate without formal schooling: TLC; 0 = others; 0 = below primary; 0 = primary; 0 = middle; 0 = secondary; 0 = higher secondary; 0 = diploma/certificate course; 0 = graduate; 0 = postgraduate and above","haven_labelled/vctrs_vctr/character","01, 08, 10, 12, 07, 06, 05, 11, 04, 13",4,8,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","General Educaion Level"
"2022",24,"b4q9_cperv1","Technical Educaion Level","0 = no technical education; 0 = technical degree in agriculture; 0 = technical degree in engineering/  technology; 0 = technical degree in medicine; 0 = technical degree in crafts; 0 = technical degree in other subjects; 0 = diploma or certificate (below graduate level) in agriculture; 0 = diploma or certificate (below graduate level) in engineering; 0 = diploma or certificate (below graduate level) in medicine; 0 = diploma or certificate (below graduate level) in crafts; 0 = diploma or certificate (below graduate level) in other subje; 0 = diploma or certificate (graduate and above level) in agricul; 0 = diploma or certificate (graduate and above level) in enginee; 0 = diploma or certificate (graduate and above level) in medicin; 0 = diploma or certificate (graduate and above level) in crafts; 0 = diploma or certificate (graduate and above level) in other s","haven_labelled/vctrs_vctr/character","01, 13, 06, 11, 08, 03, 16, 02, 09, 07",4,9,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Technical Educaion Level"
"2022",25,"b4q10_cperv1","No. of years in Formal Education","","numeric","0, 10, 12, 15, 7, 5, 9, 11, 3, 2",4,10,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","No. of years in Formal Education"
"2022",26,"b4q11_cperv1","Status of Current Attendance in Educational Institution","0 = currently not attending, never attended: school too far; 0 = currently not attending, never attended: to supplement house; 0 = currently not attending, never attended: education not consi; 0 = currently not attending, never attended: to attend domestic; 0 = currently not attending, never attended: others; 0 = ever attended but currently not attending: school too far; 0 = ever attended but currently not attending: to supplement hou; 0 = ever attended but currently not attending: education not con; 0 =   ever attended but currently not attending: to attend domes; 0 = ever attended but currently not attending:  others; 0 = currently attending in: EGS/ NFEC/ AEC; 0 = currently attending in: TLC; 0 = currently attending in: pre-primary (nursery/ Kindergarten,; 0 = currently attending in: primary (class I to IV/ V); 0 = currently attending in: middle; 0 =  currently attending in: secondary; 0 =  currently attending in: higher secondary; 0 = graduate in: agriculture; 0 = graduate in: engineering/ technology; 0 = graduate in: medicine; 0 = graduate in: other subjects; 0 = graduate in: post graduate and above; 0 = diploma or certificate (below graduate level) in: agricultur; 0 = diploma or certificate (below graduate level) in: engineerin; 0 = diploma or certificate (below graduate level) in: medicine; 0 = diploma or certificate (below graduate level) in: crafts; 0 = diploma or certificate (below graduate level) in: other subj; 0 = diploma or certificate (graduate level) in: agriculture; 0 = diploma or certificate (graduate level) in: engineering/ tec; 0 = diploma or certificate (graduate level) in: medicine; 0 = diploma or certificate (graduate level) in:crafts; 0 = diploma or certificate (graduate level) in: other subjects; 0 = diploma or certificate  in post graduate and above level-","haven_labelled/vctrs_vctr/character",", 12, 26, 25, 05, 27, 14, 24, 23, 31",4,11,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Status of Current Attendance in Educational Institution"
"2022",27,"b4q12_cperv1","Whether received any Vocational/Technical Training","0 = received vocational/technical training other than formal voc; 0 = received vocational/technical training other than formal voc; 0 = received vocational/technical training other than formal voc; 0 = received vocational/technical training other than formal voc; 0 = did not receive any vocational/technical training; 0 = yes: received formal vocational/technical training","haven_labelled/vctrs_vctr/character","6, , 2, 1, 3, 4, 5",4,12,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Whether received any Vocational/Technical Training"
"2022",28,"b4pt1q3_cperv1","Whether Training completed during last 365 Days","0 = No; 0 = yes","haven_labelled/vctrs_vctr/character",", 2, 1",4,3,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Whether Training completed during last 365 Days"
"2022",29,"b4pt1q4_cperv1","Field Of Training","0 = aerospace and aviation; 0 = agriculture, non-crop based agriculture, food processing; 0 = allied manufacturing- gems and jewellery, leather, rubber, f; 0 = artisan/craftsman/handicraft/creative arts and cottage based; 0 = automotive; 0 = beauty and wellness; 0 = chemical engineering, hydrocarbons, chemicals and petrochemi; 0 = civil engineering- construction, plumbing, paints and coatin; 0 = electrical, power and electronics; 0 = healthcare and life sciences; 0 = hospitality and tourism; 0 = iron and steel, mining, earthmoving and infra building; 0 = IT-ITeS; 0 = logistics; 0 = mechanical engineering-capital goods, strategic manufacturin; 0 = media-journalism, mass communication and entertainment; 0 = office and business related work; 0 = security; 0 = telecom; 0 = textiles and handlooms, apparels; 0 = work related to childcare, nutrition, pre-school and crèche; 0 = other","haven_labelled/vctrs_vctr/character",", 11, 15, 21, 09, 99, 20, 03, 10, 18",4,4,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Field Of Training"
"2022",30,"b4pt1q5_cperv1","Duration Of Training","1 = less than 3 months; 2 = 3 months or more but less than 6 months; 3 = 6 months or more but less than 12 months; 4 = 12 months or more but less than 18 months; 5 = 18 months or more but less than 24 months; 6 = 24 months or more-","haven_labelled/vctrs_vctr/double","4, 5, 2, 6, 3, 1",4,5,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Duration Of Training"
"2022",31,"b4pt1q6_cperv1","Type Of Training","0 = other than on the job: part time; 0 =  other than on the job: full time; 0 = on the job","haven_labelled/vctrs_vctr/character",", 3, 1, 2",4,6,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Type Of Training"
"2022",32,"b4pt1q7_cperv1","Source Of Funding The Training","0 = own funding; 0 = other; 0 = govt","haven_labelled/vctrs_vctr/character",", 2, 1, 9",4,7,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Source Of Funding The Training"
"2022",33,"b5pt1q3_cperv1","Status Code","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character","11, 31, 21, 51, 91, 99, 92, 81, 97, 95",5,3,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Status Code"
"2022",34,"b5pt1q5_cperv1","Industry Code (NIC)","","character","01113, 84119, 41001, 01124, , 01252, 01272, 85211, 96020, 23929",5,5,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Industry Code (NIC)"
"2022",35,"b5pt1q6_cperv1","Occupation Code (NCO)","","character","611, 335, 931, , 711, 921, 233, 514, 312, 723",5,6,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Occupation Code (NCO)"
"2022",36,"b5pt1q7_cperv1","Whether Engaged In Any Work In Subsidiary Capacity","0 = No; 0 = yes","haven_labelled/vctrs_vctr/character","1, 2",5,7,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Whether Engaged In Any Work In Subsidiary Capacity"
"2022",37,"b5pt1q8_cperv1","(Principal)location Of Workplace Code","0 =   workplace in rural areas and located in dwelling unit; 0 =  workplace in rural areas and located in structure attached; 0 = workplace in rural areas and located in detached structure a; 0 = workplace in rural areas and located in own enterprise/unit/; 0 = workplace in rural areas and located in employer’s dwelling; 0 = workplace in rural areas and located in employer’s enterpris; 0 = workplace in rural areas and located in street with fixed lo; 0 = workplace in rural areas and located in construction site; 0 = workplace in rural areas and located in others; 0 = workplace in urban areas and located in: dwelling unit; 0 = workplace in urban areas and located in: structure attached; 0 = workplace in urban areas and located in: detached structure; 0 = workplace in urban areas and located in: own enterprise/unit; 0 = workplace in urban areas and located in: employer’s dwelling; 0 = workplace in urban areas and located in: employer’s enterpri; 0 = workplace in urban areas and located in: street with fixed l; 0 = workplace in urban areas and located in: construction site; 0 = workplace in urban areas and located in: others; 0 = no fixed workplace","haven_labelled/vctrs_vctr/character",", 16, 28, 18, 14, 24, 99, 10, 29, 11",5,8,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal)location Of Workplace Code"
"2022",38,"b5pt1q9_cperv1","(Principal) Enterprise Type Code","0 = proprietary: male; 0 = proprietary: female; 0 = partnership: with members from same household; 0 = partnership: with members from different  household; 0 = partnership: Government/local body; 0 = partnership: Public Sector Enterprises; 0 = partnership: Autonomous Bodies; 0 = partnership: Public/Private limited company; 0 = partnership: Co-operative societies; 0 = partnership: trust/other non-profit institutions; 0 = partnership: employer’s households(i.e., private households; 0 = partnership: others","haven_labelled/vctrs_vctr/character","01, 05, , 02, 19, 08, 04, 12, 07, 10",5,9,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal) Enterprise Type Code"
"2022",39,"b5pt1q10_cperv1","(Principal) No. Of Workers In The Enterprise","0 = 6 and above but less than 10; 0 = 10 and above but less than 20; 0 = 20 and abobe; 0 = not known; 0 =  less than 6","haven_labelled/vctrs_vctr/character","1, 3, 2, , 4, 9",5,10,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal) No. Of Workers In The Enterprise"
"2022",40,"b5pt1q11_cperv1","(Principal)  Type Of Job Contract","0 = written job contract for   1  year or less; 0 = written job contract more than 1 year to 3  years; 0 = written job contract more than 3 years; 0 = no written  job contract","haven_labelled/vctrs_vctr/character",", 3, 1, 4, 2",5,11,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal)  Type Of Job Contract"
"2022",41,"b5pt1q12_cperv1","(Principal) Eligble Of Paid Leave","0 = No; 0 = yes","haven_labelled/vctrs_vctr/character",", 1, 2",5,12,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal) Eligble Of Paid Leave"
"2022",42,"b5pt1q13_cperv1","(Principal) Social Security Benefits","0 = only PF/ pension (i.e., GPF, CPF, PPF, pension,  etc.); 0 = only gratuity; 0 = only health care &  maternity benefits; 0 = only PF/ pension  and gratuity; 0 = only PF/ pension and health care & maternity benefits; 0 = only gratuity and health care & maternity benefits; 0 = PF/ pension, gratuity, health care  & maternity benefits; 0 = not  eligible for  any of above social security benefit; 0 = not known","haven_labelled/vctrs_vctr/character",", 7, 8, 5, 4, 1, 9, 2, 6, 3",5,13,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal) Social Security Benefits"
"2022",43,"b5pt1q14_cperv1","(Principal) Usage of product of the economic activity","0 = for own consumption and intended to sell some part of it (le; 0 = for own consumption and intended to sell major part of it (m; 0 = the entire produce is for selling; 0 = for own consumption only and did not intend to sell any part","haven_labelled/vctrs_vctr/character","3, , 4, 1, 2",5,14,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Principal) Usage of product of the economic activity"
"2022",44,"b5pt2q3_cperv1","Status Code","0 = worked in h.h. enterprise (self-employed): own account worke; 0 = worked in h.h. enterprise (self-employed): employer; 0 = worked as helper in h.h. enterprise (unpaid family worker); 0 = worked as regular salaried/ wage employee; 0 = worked as casual wage labour: in public works; 0 = in other types of  work; 0 = did not work but was seeking and/or available for work; 0 = attended educational institution; 0 = attended domestic duties only; 0 = attended domestic duties and was also engaged in free collec; 0 = rentiers, pensioners , remittance recipients, etc.; 0 = not able to work due to disability; 0 = others (including begging, prostitution,  etc.)","haven_labelled/vctrs_vctr/character","51, , 11, 41, 21, 12, 31",5,3,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Status Code"
"2022",45,"b5pt2q5_cperv1","Industry Code (NIC)","","character","42204, , 01124, 01272, 41001, 14105, 03222, 14101, 03111, 49224",5,5,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Industry Code (NIC)"
"2022",46,"b5pt2q6_cperv1","Occupation Code (NCO)","","character","931, , 611, 921, 753, 622, 832, 732, 713, 512",5,6,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","Occupation Code (NCO)"
"2022",47,"b5pt2q7_cperv1","(Subsidiary) location Of Workplace Code","0 =   workplace in rural areas and located in dwelling unit; 0 =  workplace in rural areas and located in structure attached; 0 = workplace in rural areas and located in detached structure a; 0 = workplace in rural areas and located in own enterprise/unit/; 0 = workplace in rural areas and located in employer’s dwelling; 0 = workplace in rural areas and located in employer’s enterpris; 0 = workplace in rural areas and located in street with fixed lo; 0 = workplace in rural areas and located in construction site; 0 = workplace in rural areas and located in others; 0 = workplace in urban areas and located in: dwelling unit; 0 = workplace in urban areas and located in: structure attached; 0 = workplace in urban areas and located in: detached structure; 0 = workplace in urban areas and located in: own enterprise/unit; 0 = workplace in urban areas and located in: employer’s dwelling; 0 = workplace in urban areas and located in: employer’s enterpri; 0 = workplace in urban areas and located in: street with fixed l; 0 = workplace in urban areas and located in: construction site; 0 = workplace in urban areas and located in: others; 0 = no fixed workplace","haven_labelled/vctrs_vctr/character","16, , 99, 10, 18, 19, 11, 13, 14, 26",5,7,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Subsidiary) location Of Workplace Code"
"2022",48,"b5pt2q8_cperv1","(Subsidiary)  Enterprise Type Code","0 = proprietary: male; 0 = proprietary: female; 0 = partnership: with members from same household; 0 = partnership: with members from different  household; 0 = partnership: Government/local body; 0 = partnership: Public Sector Enterprises; 0 = partnership: Autonomous Bodies; 0 = partnership: Public/Private limited company; 0 = partnership: Co-operative societies; 0 = partnership: trust/other non-profit institutions; 0 = partnership: employer’s households(i.e., private households; 0 = partnership: others","haven_labelled/vctrs_vctr/character","05, , 01, 02, 08, 19, 06, 12, 03, 04",5,8,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Subsidiary)  Enterprise Type Code"
"2022",49,"b5pt2q9_cperv1","(Subsidiary)  No. Of Workers In The Enterprise","1 =  less than 6; 2 = 6 and above but less than 10; 3 = 10 and above but less than 20; 4 = 20 and abobe; 9 = not known","haven_labelled/vctrs_vctr/double","4, 1, 3, 2, 9",5,9,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Subsidiary)  No. Of Workers In The Enterprise"
"2022",50,"b5pt2q10_cperv1","(Subsidiary)   Type Of Job Contract","0 = written job contract for   1  year or less; 0 = written job contract more than 1 year to 3  years; 0 = written job contract more than 3 years; 0 = no written  job contract","haven_labelled/vctrs_vctr/character","1, , 4, 3, 2",5,10,NA,NA,"Block 5: usual activity and employment particulars","Person file: first visit","(Subsidiary)   Type Of Job Contract"
